"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Challa Mall","09841987067","https://lh5.googleusercontent.com/p/AF1QipNt9AWh6wgbYPnUD_Yk9oZvcXksUR-JcwkjXINF=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY2sBxJSZlI6MQmQ5Qavs9Vq&daddr=43,+25,+Sir+Thyagaraya+Rd,+Parthasarathi+Puram,+T.+Nagar,+Chennai,+Tamil+Nadu+600017&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegUIABCqAQ","43, 25, Sir Thyagaraya Rd, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017","13.040129981488","80.240650018789","3.6","10:00 PM"
"Phoenix Marketcity","04461343008","https://lh5.googleusercontent.com/p/AF1QipM2o4wVvedE4WBLQnqYgWophLmuwwwMBKBjt2ck=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KetgjrRjZ1I6MVHCNpAAKTrb&daddr=Velachery+Main+Rd,+Indira+Gandhi+Nagar,+Velachery,+Chennai,+Tamil+Nadu+600042&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABAr","Velachery Main Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042","12.99275646877","80.218644754907","4.5","10:00 PM"
"Express Avenue","04449954646","https://lh5.googleusercontent.com/p/AF1QipNL0v-sYgsiZ--QPC_fvFSv9mFFN28vSP-rR8sk=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXFFJJyaXVI6MUtTpLegoZWH&daddr=17,+Pattullos+Rd,+Express+Estate,+Thousand+Lights,+Chennai,+Tamil+Nadu+600002&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABA1","17, Pattullos Rd, Express Estate, Thousand Lights, Chennai, Tamil Nadu 600002","13.069198458","80.265965","4.4","6:30 PM"
"Spencer Plaza","04442140724","https://lh5.googleusercontent.com/p/AF1QipPJ7SwiwlS-ZQ_hK4nyF08_Milk_nGEARLibxDI=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaM-e8oHZ1I6MU8O574JMX_t&daddr=6th+floor+No+272,+Seethakathi+Business+Centre,+688,+Anna+Salai,+Thousand+Lights+East,+Thousand+Lights,+Chennai,+Tamil+Nadu+600006&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABA-","6th floor No 272, Seethakathi Business Centre, 688, Anna Salai, Thousand Lights East, Thousand Lights, Chennai, Tamil Nadu 600006","13.067960380199","80.244706500227","4.0","10:00 PM"
"CHENNAI SHOPPING","09884776695","https://lh5.googleusercontent.com/p/AF1QipMwb-5oveuLfm9O3s7jwyy-vKnXhnfTE3RBcjtl=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQM3xP6TX1I6MdPNvcm3VN1V&daddr=70,+Medavakkam+Main+Rd,+Ranga+Nagar,+Keelkattalai,+Chennai,+Tamil+Nadu+600117&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABBH","70, Medavakkam Main Rd, Ranga Nagar, Keelkattalai, Chennai, Tamil Nadu 600117","12.958409987836","80.187010029418","3.9","6:30 PM"
"Alsa Mall","04440173017","https://lh5.googleusercontent.com/p/AF1QipPpN9JvRws5p_Y4oK8Whg3V_YFEnEc6gp5QCiYm=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf_wEvUSZlI6MfIvnIpUNbAr&daddr=Egmore,+Red+Cross+Rd,+Chennai,+Tamil+Nadu+600008&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABBQ","Egmore, Red Cross Rd, Chennai, Tamil Nadu 600008","13.067878367259","80.258556727934","3.8","09:00 PM"
"THE MARINA MALL","04466705555","https://lh5.googleusercontent.com/p/AF1QipO4QcoTtAgQnVeV5_8wdqCmMeG2_84xE4W0lX2f=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ1Q09NeWlI6MbueCS9cjbpR&daddr=13/1A,+Old+Mahabalipuram+Road,+Egattur,+Tamil+Nadu+603103&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABBZ","13/1A, Old Mahabalipuram Road, Egattur, Tamil Nadu 603103","12.849449982331","80.226379996271","4.4","6:30 PM"
"VR Chennai","09884279185","https://lh5.googleusercontent.com/p/AF1QipNsxHqM0lx7nJkatQfvfN1yIGuBJw4dQlQwAwVa=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ke8riL4CZFI6MRBnbQFFPy-t&daddr=100+Feet+Rd,+Thirumangalam,+Anna+Nagar,+Chennai,+Tamil+Nadu+600040&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABBj","100 Feet Rd, Thirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040","13.086524989031","80.198449986148","4.5","10:00 PM"
"Ramee Mall","04449049000","https://lh5.googleusercontent.com/p/AF1QipMgalRDwmotHL5DT4NedHqY2J-KESxzT-WO_oQd=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUtO285OZlI6MXO0ULEbKqCq&daddr=365,+Annai+Salai,+Poes+Road,+Subbarayan+Nagar,+Teynampet,+Chennai,+Tamil+Nadu+600018,+India,+Chennai,+Tamil+Nadu+600018&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABBs","365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018, India, Chennai, Tamil Nadu 600018","13.041162488686","80.251994488744","3.8","6:30 PM"
"FOUNTAIN PLAZA","09840751123","https://lh5.googleusercontent.com/p/AF1QipN3Wsn4k-Hu6C3G62LUosBt0tf74P_UAplIX-f_=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYNr3-gSZlI6Mb4s32vnpGra&daddr=No+97,+345,+Pantheon+Rd,+Egmore,+Chennai,+Tamil+Nadu+600008&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABB1","No 97, 345, Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008","13.0683699963","80.255980016783","3.9","10:00 PM"
"CHENNAI CITI CENTRE","180042531111","https://lh5.googleusercontent.com/p/AF1QipPuIZXAfC615W1A1VHdj4k5oFUqL2udM38ARg-3=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfF_Vuj_Z1I6MdT0A3_oNuKo&daddr=Dr+Radha+Krishnan+Salai,+Loganathan+Colony,+Mylapore,+Chennai,+Tamil+Nadu+600004&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegQIABB_","Dr Radha Krishnan Salai, Loganathan Colony, Mylapore, Chennai, Tamil Nadu 600004","13.044960011283","80.262359986204","3.8","6:30 PM"
"Shopping Street","180042531111","https://lh5.googleusercontent.com/p/AF1QipNXyUFqIHFq0NnjGgjdQnPy8UjRQu4LHePCzncJ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbcgusKBZ1I6Mc4FjlOmO9Ys&daddr=Railway+Station,+25,+Ranganathan+St,+Near+Mambalam,+Postal+Colony,+T.+Nagar,+Chennai,+Tamil+Nadu+600017&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegUIABCHAQ","Railway Station, 25, Ranganathan St, Near Mambalam, Postal Colony, T. Nagar, Chennai, Tamil Nadu 600017","13.039159985743","80.224210005358","4.3","10:00 PM"
"Nexus Vijaya Mall","04442029875","https://lh5.googleusercontent.com/p/AF1QipPACUxGfelKNNKjsgcctrbylWthMXGrvDOQzscK=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTucTwjCZlI6MfB2XcScYrlU&daddr=183,+Great+Southern+Trunk+Rd,+Arcot+Rd,+Vadapalani,+Chennai,+Tamil+Nadu+600026&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegUIABCPAQ","183, Great Southern Trunk Rd, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026","13.049675995167","80.210146757346","4.4","6:30 PM"
"Chennai Fancy Stores","09789937575","https://lh5.googleusercontent.com/p/AF1QipO3TpHKK6Zc4Di-WK7yBRHR5RBeyAOP5mYZjNl-=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQFypGJMZlI6MdxX1TC59GA1&daddr=10/32,+Periyar+Salai,+Kamarajar+St,+Teynampet,+Chennai,+Tamil+Nadu+600018&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegUIABCYAQ","10/32, Periyar Salai, Kamarajar St, Teynampet, Chennai, Tamil Nadu 600018","13.052430005303","80.235869987046","4.0","10:00 PM"
"Grand Square","04466282232","https://lh5.googleusercontent.com/p/AF1QipPsLRLquJb-bs8VKJhu3ReZssD1AmyvhdOAFGZd=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX2DJ02XXVI6Me8KEYp2RZvf&daddr=137,+Velachery+-+Tambaram+Main+Rd,+V.O.C+Nagar,+Doctor+Seetaram+Nagar,+Velachery,+Chennai,+Tamil+Nadu+600042&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegUIABChAQ","137, Velachery - Tambaram Main Rd, V.O.C Nagar, Doctor Seetaram Nagar, Velachery, Chennai, Tamil Nadu 600042","12.972739982872","80.21952996972","4.0","6:30 PM"
"Challa Mall","09841987067","https://lh5.googleusercontent.com/p/AF1QipNt9AWh6wgbYPnUD_Yk9oZvcXksUR-JcwkjXINF=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY2sBxJSZlI6MQmQ5Qavs9Vq&daddr=43,+25,+Sir+Thyagaraya+Rd,+Parthasarathi+Puram,+T.+Nagar,+Chennai,+Tamil+Nadu+600017&ved=2ahUKEwjVxd7I1LmEAxVM4IQAHSIlB-MQ48ADegUIABCqAQ","43, 25, Sir Thyagaraya Rd, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017","13.040129981488","80.240650018789","3.6","10:00 PM"
"Ankur Plaza","180042531111","https://lh5.googleusercontent.com/p/AF1QipPeaDl3HQTpxNOYtIHeSqDyXTexwljvY2zeBey6=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZXFtuBQZlI6McoUvAopOq5L&daddr=113/52,+Gopathi+Narayanaswami+Chetty+Rd,+T.+Nagar,+Chennai,+Tamil+Nadu+600017&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABAq","113/52, Gopathi Narayanaswami Chetty Rd, T. Nagar, Chennai, Tamil Nadu 600017","13.047090020518","80.243710000181","3.9","6:30 PM"
"A Cube","08940900466","https://lh5.googleusercontent.com/p/AF1QipO_nWRwolp91n1xDje6kO-rbdhjlpRkpC6UT00y=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXtA31lPb1I6MRE6jPOIFpiJ&daddr=F29+Burma+bazaar,+Rajaji+Rd,+Chennai,+Tamil+Nadu+600001&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABAy","F29 Burma bazaar, Rajaji Rd, Chennai, Tamil Nadu 600001","13.09065778242","80.291074710974","4.0","6:30 PM"
"All The Plus Size Store Forum Vijaya Mall","02192686868","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LzrJqjvtIaFuLLmawood1Q&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=202.27449&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kfm8yF5NZ1I6MUj3eva1vPdm&daddr=forum+vijaya+mall,+183,+Arcot+Rd,+Vadapalani,+Chennai,+Tamil+Nadu+600026&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABA7","forum vijaya mall, 183, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026","13.04961","80.20953","3.9","10:00 PM"
"Spencers","09150085560","https://lh5.googleusercontent.com/p/AF1QipOHl3N5NvnKl8EoGHdwfSb1vuN-WHjNRJhJtoI=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfV_3p86ZlI6MWFx2RViEiwU&daddr=98+Avvai+Shanmugam+Rd,+Lloyds+Rd,+Royapettah,+Chennai,+Tamil+Nadu+600014&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABBF","98 Avvai Shanmugam Rd, Lloyds Rd, Royapettah, Chennai, Tamil Nadu 600014","13.04806","80.26303","3.7","6:30 PM"
"Max","08015070081","https://lh5.googleusercontent.com/p/AF1QipNIgEwICwcIrRmrLAfm2WmVG9hWGakaiBxbKCb7=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUPRkUweZVI6MXy5cKFgDJa3&daddr=No+11+%26+13,+New+Door,+Old,+29,+Madhavaram+High+Rd,+Perambur,+Chennai,+Tamil+Nadu+600011&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABBP","No 11 & 13, New Door, Old, 29, Madhavaram High Rd, Perambur, Chennai, Tamil Nadu 600011","13.114259994176","80.244009988496","4.1","09:00 PM"
"Westside - Vijaya Forum Mall, Chennai","09150085577","https://lh5.googleusercontent.com/p/AF1QipNqKmHAKviUlrPYAoYCA5xdIkRF3TkZGNcGqeAo=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV1Y_AHCZlI6MbqaX79lYFJd&daddr=Westside+-+A,+Unit+of+Trent+Limited,+forum+vijaya+mall,+No.182,+NSK+Salai+Rd,+Thiru+Nagar+Colony,+NGO+Colony,+Vadapalani,+Chennai,+Tamil+Nadu+600026&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABBZ","Westside - A, Unit of Trent Limited, forum vijaya mall, No.182, NSK Salai Rd, Thiru Nagar Colony, NGO Colony, Vadapalani, Chennai, Tamil Nadu 600026","13.056324121632","80.208939246435","4.4","6:30 PM"
"Max","09150046710","https://lh5.googleusercontent.com/p/AF1QipPC5SUTUXNnaCHHnnSbTkAQ5fyYq0Tprffe0sA=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWtr7M41YVI6MU09uB5rW56k&daddr=152,+N+Usman+Rd,+T.+Nagar,+Chennai,+Tamil+Nadu+600017&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABBj","152, N Usman Rd, T. Nagar, Chennai, Tamil Nadu 600017","13.040480009765","80.232159989063","4.0","10:00 PM"
"Sun Plaza","18001231555","https://lh5.googleusercontent.com/p/AF1QipOyzR6P90gXh6KT4fQHyUZNLj4B-1Bq9FlKpOjV=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRPy0tNFZlI6MV22qkTOL4sH&daddr=19/39,+Gopathi+Narayanaswami+Chetty+Rd,+Teynampet,+Thiru+Vi+Ka+Kudiyiruppu,+Teynampet,+Chennai,+Tamil+Nadu+600006&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABBs","19/39, Gopathi Narayanaswami Chetty Rd, Teynampet, Thiru Vi Ka Kudiyiruppu, Teynampet, Chennai, Tamil Nadu 600006","13.049789999169","80.248130029183","3.9","6:30 PM"
"Bhaiya Complex","04448633211","https://lh5.googleusercontent.com/p/AF1QipPoO0upvBfhqBhqF9cRwzL9evxad9I_YNMApcRI=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQHi9zPhZVI6Mca1HMIxVlDQ&daddr=37P5%2BR4P,+Purasawalkam+High+Rd,+Perumalpet,+Purasaiwakkam,+Chennai,+Tamil+Nadu+600012&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABB0","37P5+R4P, Purasawalkam High Rd, Perumalpet, Purasaiwakkam, Chennai, Tamil Nadu 600012","13.086079993791","80.255710035682","3.7","10:00 PM"
"Gani Store","04442103407","https://lh5.googleusercontent.com/p/AF1QipPVrgSu0_vb9GnYQMIONmuqSgEfedoBcs_1024C=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUuSmnirZ1I6Meoa43uSIAZ3&daddr=2111,+Alamelu+Manga+Puram,+Sankarapuram,+Mylapore,+Chennai,+Tamil+Nadu+600004&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegQIABB8","2111, Alamelu Manga Puram, Sankarapuram, Mylapore, Chennai, Tamil Nadu 600004","13.030466934167","80.270624974664","4.4","6:30 PM"
"Max","08069680282","https://lh5.googleusercontent.com/p/AF1QipOGpPuUgt17hfSTA33N5vIj0ZJg92DLnB_bkXNl=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZsEF0M9ZlI6MQ5zV7yl1KoL&daddr=520,+A202,+5298,+Express+Avenue+Mall,+5299+%26+5306+49+%26+50L,+Whites+Rd,+Express+Estate,+Royapettah,+Chennai,+Tamil+Nadu+600014&ved=2ahUKEwjWsciC1bmEAxWezoQAHW8NCqIQ48ADegUIABCFAQ","520, A202, 5298, Express Avenue Mall, 5299 & 5306 49 & 50L, Whites Rd, Express Estate, Royapettah, Chennai, Tamil Nadu 600014","13.058029996724","80.264150025446","4.2","09:00 PM"
